"Genetic ID (suffices: "".DG"" is a high coverage shotgun genome with diploid genotype calls; "".SG"" is a high coverage shotgun genome with diploid genotype calls; "".AG,  .TW, .BY, .AA, .EC, .WGC""  are Agilent 1240K or Twist Ancient DNA or ""Big Yoruba"" or ""Archaic Admixture"" or ""Exome"" or ""Whole-Genome Capture"" data respectively; each analyzed position is represented by a randomly chosen sequence allowing for combinations when merged (separable by readgroups if possible).  "".HO"" is Affymetrix Human Origins genotype data and ""REF"" is reference haploid data.",Persistent Genetic ID,Individual ID,Skeletal code,Skeletal element,"First publication: Abbreviation for earliest paper that reported data from this individual (this is not always the same as the data being analyzed, which may be from a different or improved dataset)",Publication abbreviation,doi for publication of this representation of the data,Link to the most permanent repository hosting these data,"Method for Determining Date; unless otherwise specified, calibrations use 95.4% intervals from OxCal v4.4.2 Bronk Ramsey (2009); r5; Atmospheric data from Reimer et al (2020)","Date mean in BP in years before 1950 CE [OxCal mu for a direct radiocarbon date, and average of range for a contextual date]","Date standard deviation in BP [OxCal sigma for a direct radiocarbon date, and standard deviation of the uniform distribution between the two bounds for a contextual date]","Full Date One of two formats. (Format 1) 95.4% CI calibrated radiocarbon age (Conventional Radiocarbon Age BP, Lab number) e.g. 2624-2350 calBCE (3990+-40 BP, Ua-35016). (Format 2) Archaeological context range, e.g. 2500-1700 BCE","Age at death, Morphological sex from physical anthropology",Group ID,Locality,Political Entity,Latitude,Longitude,Pulldown Strategy,Suffices (indicating data types used for sources which can be a subset of that in bam),Data type,No. Libraries,Mean coverage on 1.15M autosomal targets for full bam (if no off-target entry not up-to-date),"Mean coverage on non-targeted autosomal SNPs for full bam - not yet computed if """".."""" and bam restricted to on-target SNPs if """"0""""",SNPs hit on autosomal targets (Computed using easystats on enhance 2M capture subset) ,SNPs hit on autosomal targets (Computed using easystats on 1240k snpset),SNPs hit on autosomal targets (Computed using easystats on HO snpset),SNPs hit on autosomal targets (Computed using easystats on Compatibility snpset),SNPs hit on autosomal targets (Computed using easystats on Compatibility_HO snpset),Molecular Sex,Family relations,Sum total of ROH segments >20cM,Sum total of ROH segments >20cM.1,Y haplogroup in terminal mutation notation automatically called based on Y-full 12.03 with the software described in Lazaridis et al. Science 2022,Y haplogroup  in ISOGG notation automatically called based on Yfull 12.03 with the software described in Lazaridis et al. Science 2022,Y haplogroup manually called if different from automatic,mtDNA coverage (merged data),mtDNA haplogroup if >2x or published,"mtDNA match to consensus if >10x (merged data) [estimates are typically off by (uncorrected + power(10,-0.271*LOG(mt-coverage)-1.120)]",Damage rate in first nucleotide on sequences overlapping 1240k targets (merged data),Sex ratio [Y/(Y+X) counts] (merged data),ANGSD MOM 95% CI truncated at 0 (only if male and >=200 SNPs) [estimates are typically 0.005 too high],hapConX 95% CI truncated at 0 (only if male and >=2000 SNPs covered on X chromosome) [estimates are typically 0.005 too high],"Library type (minus=no.damage.correction, half=damage.retained.at.last.position, plus=damage.fully.corrected, ds=double.stranded.library.preparation, ss=single.stranded.library.preparation)",Libraries,endogenous by library (computed on shotgun data),ASSESSMENT,"ASSESSMENT WARNINGS: X contamination interval is listed if lower bound is >=0.005 for either ANGSD or hapConX, ""QUESTIONABLE"" if lower bound is 0.015-0.035 for hapConX (or ANGSD if no hapConX computation), ""CRITICAL"" or ""FAIL"" if lower bound is >0.03  for hapConX (or ANGSD if no hapConX computation) |mtcontam confidence interval is listed if coverage >10 and upper bound is <0.98, ""QUESTIONABLE"" if upper bound is 0.9-0.95; ""CRITICAL"" if upper bound is <0.9, QUESTIONABLE status gets overriden by ANGSD or hapConX if upper bound of contamination estimate is <0.01 | damage for ds.half is ""CRITICAL/FAIL"" if <0.01, and recorded but passed if 0.01-0.03; libraries with untreated last base are ""CRITICAL"" or ""FAIL"" if <0.01, ""QUESTIONABLE"" if 0.01-0.03, and recorded but passed if 0.03-0.1 | sex.ratio is QUESTIONABLE if [0.03,0.1) or (0.30,0.32]; CRITICAL/FAIL if [0.1,0.3] | f4(All,Damage;CEU,CHB) for non-damage-restricted samples is ""CRITICAL/FAIL"" if |Z|>=3.5, QUESTIONABLE if 3.5>Z>=3.0, listed if Z>=2.0",subpopulation,date_CE
I7221.SG,51999,I7221,HIMR_W2825,petrous (cochlea),ReitsemaReichPNAS2022,AkbariReichNature2026,..,..,"Known: 480 BCE battle (use this in preference to the direct radiocarbon date of 734-408 calBCE (2425�20 BP, PSUAMS-4237) calibrated as IntCal20)",2430,0.0,480 BCE,..,Italy_Sicily_Himera_IA_b_Greek,"Himera (Sicily, Palermo, Termini Imerese)",Italy,37.972296,13.824736,Native Pulldown on 3.2M snpset,SG,Shotgun,1,4.0077,3.4915,1799967,1099582,563689,1191215,269201,M,..,0,0,G-Y216605,G2a2a1a2b1b,..,..,K1a4j1,..,..,..,"[0.006,0.011]","[0.003,0.005]",ds.half,S7221.E1.L1,0.723,Pass,"ANGSD=[0.006,0.011], hapConX=[0.003,0.005]",Italian_Central_Med,-480
I7223.SG,52001,I7223,HIMR_W4378,petrous (cochlea),ReitsemaReichPNAS2022,AkbariReichNature2026,..,..,"Known: 480 BCE battle (use this in preference to the earlier date of 761-479 calBCE (2470�20 BP, PSUAMS-4027) calibrated as IntCal20)",2359,0.0,409 BCE,..,Italy_Sicily_Himera_IA_b_Greek,"Himera (Sicily, Palermo, Termini Imerese)",Italy,37.972296,13.824736,Native Pulldown on 3.2M snpset,SG,Shotgun,1,4.1668,3.6588,1808536,1105871,565596,1197432,269971,M,..,0,0,J-FGC45722,J2a1a1a2b2a2b1,..,..,U5a1g1,..,..,..,"[0.005,0.011]","[0.003,0.006]",ds.half,S7223.E1.L1,0.804,Pass,"ANGSD=[0.005,0.011], hapConX=[0.003,0.006]",Italian_Central_Med,-409
I7224.SG,52002,I7224,HIMR_W4651,petrous (cochlea),ReitsemaReichPNAS2022,AkbariReichNature2026,..,..,"Known: 480 BCE battle (use this in preference to the earlier date of 771-541 calBCE (2490�20 BP, PSUAMS-4348) calibrated as IntCal20)",2359,0.0,409 BCE,..,Italy_Sicily_Himera_IA_b_Greek,"Himera (Sicily, Palermo, Termini Imerese)",Italy,37.972296,13.824736,Native Pulldown on 3.2M snpset,SG,Shotgun,1,3.5736,3.1212,1771447,1081070,556271,1171796,265466,M,..,0,0,T-FT39851,T1a2b1,..,..,U1a1a,..,..,..,"[0.005,0.01]","[0.003,0.005]",ds.half,S7224.E1.L1,0.772,Pass,"ANGSD=[0.005,0.01], hapConX=[0.003,0.005]",Italian_Central_Med,-409
fra004_France.SG,59099,fra004_France,no information (fra004),..,AlvesDinaNatComm2024,AlvesDinaNatComm2024,https://doi.org/10.1038/s41467-024-51087-1,ENA:PRJEB71835,"Direct (WARNING - NO DIRECT DATE OR LAB CODE): IntCal20, use what seems to be the 95.4% range given in the paper assuming a uniform distribution to get a mean and confidence interval",1467,40.0,414-553 calCE,..,France_SaintLupienReze_Medieval,Saint Lupien Rezé (Pays de la Loire),France,47.1922193,-1.5624993,Native Pulldown on 3.2M snpset,SG,Shotgun,..,0.2769,0.2888,442881,272172,137892,293929,65885,M,..,n/a (<300K SNPs),n/a (<300K SNPs),J,J,..,..,..,..,..,..,"[0.026,0.061]",..,..,..,0.057764,Questionable,"ANGSD=[0.026,0.061]",Western_European,483
fra004_France_d.SG,59100,fra004_France,no information (fra004),..,AlvesDinaNatComm2024,AlvesDinaNatComm2024,https://doi.org/10.1038/s41467-024-51087-1,ENA:PRJEB71835,"Direct (WARNING - NO DIRECT DATE OR LAB CODE): IntCal20, use what seems to be the 95.4% range given in the paper assuming a uniform distribution to get a mean and confidence interval",1467,40.0,414-553 calCE,..,France_SaintLupienReze_Medieval,Saint Lupien Rezé (Pays de la Loire),France,47.1922193,-1.5624993,Native Pulldown on 3.2M snpset,SG,Shotgun,..,0.0243,0.0247,44439,27102,13907,29591,6665,M,..,n/a (<300K SNPs),n/a (<300K SNPs),..,..,..,..,..,..,..,..,..,..,..,..,..,Pass,..,Western_European,483
fra009_France.SG,59103,fra009_France,no information (fra009),..,AlvesDinaNatComm2024,AlvesDinaNatComm2024,https://doi.org/10.1038/s41467-024-51087-1,ENA:PRJEB71835,Context: Archaeological,1475,43.0,400-550 CE,..,France_ChausseSaintPierre_Medieval,"Chaussé Saint Pierre (Pays de la Loire, Maine-et-Loire, Angers)",France,47.47,0.54,Native Pulldown on 3.2M snpset,SG,Shotgun,..,0.2817,0.2857,447929,277767,139415,298020,66604,M,..,n/a (<300K SNPs),n/a (<300K SNPs),E-Y307522,E1b1b1b1a1c1~,..,..,..,..,..,..,"[0.024,0.052]",..,..,..,0.276266,Questionable,"ANGSD=[0.024,0.052]",Western_European,475
fra009_France_d.SG,59104,fra009_France,no information (fra009),..,AlvesDinaNatComm2024,AlvesDinaNatComm2024,https://doi.org/10.1038/s41467-024-51087-1,ENA:PRJEB71835,Context: Archaeological,1475,43.0,400-550 CE,..,France_ChausseSaintPierre_Medieval,"Chaussé Saint Pierre (Pays de la Loire, Maine-et-Loire, Angers)",France,47.47,0.54,Native Pulldown on 3.2M snpset,SG,Shotgun,..,0.0485,0.0471,87732,53897,27731,58382,13178,M,..,n/a (<300K SNPs),n/a (<300K SNPs),..,..,..,..,..,..,..,..,..,..,..,..,..,Pass,..,Western_European,475
fra016_France.SG,59105,fra016_France,no information (fra016),..,AlvesDinaNatComm2024,AlvesDinaNatComm2024,https://doi.org/10.1038/s41467-024-51087-1,ENA:PRJEB71835,Context: Archaeological,1300,29.0,600-700 CE,..,France_Medieval,"Chémeré (Pays de la Loire Region, Chaumes-en-Retz commune)",France,47.684,1.105,Native Pulldown on 3.2M snpset,SG,Shotgun,..,3.7137,4.1436,1784222,1094361,553007,1183057,263959,M,..,0,0,R-DF23,R1b1a1b1a1a2c1a1a1a1,..,..,..,..,..,..,"[0.012,0.016]",..,..,..,0.480058,Pass,"ANGSD=[0.012,0.016]",Western_European,650
fra017_France.SG,59107,fra017_France,no information (fra017),..,AlvesDinaNatComm2024,AlvesDinaNatComm2024,https://doi.org/10.1038/s41467-024-51087-1,ENA:PRJEB71835,Context: Archaeological,1300,29.0,600-700 CE,..,France_Medieval,"Chémeré (Pays de la Loire Region, Chaumes-en-Retz commune)",France,47.684,1.105,Native Pulldown on 3.2M snpset,SG,Shotgun,..,0.1332,0.133,232192,143239,73187,154433,35143,M,..,n/a (<300K SNPs),n/a (<300K SNPs),R-FGC19335,R1b1a1b1a1a2c1a6,..,..,..,..,..,..,"[0.109,0.109]",..,..,..,0.020224,CRITICAL,"ANGSD=[0.109,0.109]",Western_European,650
fra017_France_d.SG,59108,fra017_France,no information (fra017),..,AlvesDinaNatComm2024,AlvesDinaNatComm2024,https://doi.org/10.1038/s41467-024-51087-1,ENA:PRJEB71835,Context: Archaeological,1300,29.0,600-700 CE,..,France_Medieval,"Chémeré (Pays de la Loire Region, Chaumes-en-Retz commune)",France,47.684,1.105,Native Pulldown on 3.2M snpset,SG,Shotgun,..,0.0085,0.0081,16031,9769,5133,10705,2481,M,..,n/a (<300K SNPs),n/a (<300K SNPs),..,..,..,..,..,..,..,..,..,..,..,..,..,Pass,..,Western_European,650
I8205.AG.TW,59336,I8205,12-SU-33-A4-180,tooth,OlaldeReichScience2019,AkbariReichNature2026,..,..,Context: Archaeological,2150,58.0,300-100 BCE,..,Spain_LateArchaic_Classical_Hellenistic-oAegean,"Necrópolis Granada (Catalonia, Girona, Empúries)",Spain,42.128662,3.1212,Native Pulldown on 3.2M snpset,AG.TW,"1240k,Twist1.4M",4,1.5157,0.0211,1331946,853390,453178,869230,216004,M,..,0,0,J-Y33967,J1a2b1,..,126.68,H14a2c,"[0.956,0.977]",0.082,0.359,"[0.000,0.006]",..,"ds.half,ds.half,ds.half,ss.USER","S41991.Y1.E1.L1,S41991.Y1.E2.L1,S8205.E1.L1,S8205.E1.L2","0.03489,0.03776,0.00770,..",Pass,"mtcontam=[0.956,0.977], damage=0.082",Western_European,-200
I8205.TW,59337,I8205,12-SU-33-A4-180,tooth,OlaldeReichScience2019,AkbariReichNature2026,..,..,Context: Archaeological,2150,58.0,300-100 BCE,..,Spain_LateArchaic_Classical_Hellenistic-oAegean,"Necrópolis Granada (Catalonia, Girona, Empúries)",Spain,42.128662,3.1212,Native Pulldown on 3.2M snpset,TW,Twist1.4M,2,1.4478,0.0201,1306025,837218,445436,852406,212333,M,..,0,0,J-Y33967,J1a2b1,..,126.68,H14a2c,"[0.956,0.977]",0.082,0.359,"[0.000,0.006]",..,"ds.half,ds.half","S41991.Y1.E1.L1,S41991.Y1.E2.L1","0.03489,0.03776",Pass,"mtcontam=[0.956,0.977], damage=0.082",Western_European,-200
I8208.AG.TW,59338,I8208,12-SU-33-A4-T510,tooth,OlaldeReichScience2019,AkbariReichNature2026,..,..,Direct: IntCal20,2226,50.0,"376-201 calBCE (2220±20 BP, PSUAMS-4277)",..,Spain_LateArchaic_Classical_Hellenistic-oAegean,"Necrópolis Granada (Catalonia, Girona, Empúries)",Spain,42.128662,3.1212,Native Pulldown on 3.2M snpset,AG.TW,"1240k,Twist1.4M",4,9.8197,0.0919,1803314,1109814,573261,1190236,273705,M,..,0,0,J-FTB66281,J2a1a1a2b2a1b1~,..,180.819,H33,"[0.942,0.968]",0.17,0.386,"[0.004,0.007]",..,"ds.half,ds.half,ds.half,ss.USER","S41990.Y1.E2.L1,S41990.Y1.E1.L1,S8208.E1.L1,S8208.E1.L2","0.43745,0.45851,0.01020,..",Pass,"mtcontam=[0.942,0.968]",Western_European,-276
I8208.TW,59339,I8208,12-SU-33-A4-T510,tooth,OlaldeReichScience2019,AkbariReichNature2026,..,..,Direct: IntCal20,2226,50.0,"376-201 calBCE (2220±20 BP, PSUAMS-4277)",..,Spain_LateArchaic_Classical_Hellenistic-oAegean,"Necrópolis Granada (Catalonia, Girona, Empúries)",Spain,42.128662,3.1212,Native Pulldown on 3.2M snpset,TW,Twist1.4M,2,9.3719,0.0846,1793816,1105525,572170,1183739,273231,M,..,0,0,J-FTB66281,J2a1a1a2b2a1b1~,..,180.819,H33,"[0.942,0.968]",0.17,0.386,"[0.004,0.007]",..,"ds.half,ds.half","S41990.Y1.E2.L1,S41990.Y1.E1.L1","0.43745,0.45851",Pass,"mtcontam=[0.942,0.968]",Western_European,-276
I8212.AG.TW,59346,I8212,10-SU-28-D1-E-46,tooth,OlaldeReichScience2019,AkbariReichNature2026,..,..,Context: Archaeological,2375,43.0,500-350 BCE,..,Spain_LateArchaic_Classical_Hellenistic,"Necrópolis Centre de Visitants (Catalonia, Girona, Empúries)",Spain,42.133301,3.1083,Native Pulldown on 3.2M snpset,AG.TW,"1240k,Twist1.4M",4,8.8262,0.1134,1805724,1109958,573080,1192025,273686,M,..,0,0,R-BY9459,R1b1a1b1a1a2,..,122.647,H27+16093,"[0.930,0.967]",0.105,0.403,"[0.003,0.005]",..,"ds.half,ds.half,ds.half,ss.USER","S41967.Y1.E1.L1,S41967.Y1.E2.L1,S8212.E1.L1,S8212.E1.L2","0.53355,0.54039,0.00420,..",Pass,"mtcontam=[0.930,0.967]",Western_European,-425
I8212.TW,59347,I8212,10-SU-28-D1-E-46,tooth,OlaldeReichScience2019,AkbariReichNature2026,..,..,Context: Archaeological,2375,43.0,500-350 BCE,..,Spain_LateArchaic_Classical_Hellenistic,"Necrópolis Centre de Visitants (Catalonia, Girona, Empúries)",Spain,42.133301,3.1083,Native Pulldown on 3.2M snpset,TW,Twist1.4M,2,8.7938,0.1127,1804945,1109552,572980,1191479,273636,M,..,0,0,R-BY9459,R1b1a1b1a1a2,..,122.647,H27+16093,"[0.930,0.967]",0.105,0.403,"[0.003,0.005]",..,"ds.half,ds.half","S41967.Y1.E1.L1,S41967.Y1.E2.L1","0.53355,0.54039",Pass,"mtcontam=[0.930,0.967]",Western_European,-425
I8213.AG.TW,59348,I8213,10-SU-28-D1-E-60,tooth,OlaldeReichScience2019,AkbariReichNature2026,..,..,Context: Archaeological,2400,29.0,500-400 BCE,..,Spain_LateArchaic_Classical_Hellenistic,"Necrópolis Centre de Visitants (Catalonia, Girona, Empúries)",Spain,42.133301,3.1083,Native Pulldown on 3.2M snpset,AG.TW,"1240k,Twist1.4M",4,8.6708,0.1017,1811975,1117107,574058,1196245,274133,F,..,42.375904,42.375904,n/a (female),n/a (female),n/a (female),176.912,K2a,"[0.948,0.973]",0.145,0.009,n/a (female),n/a (female),"ds.half,ds.half,ds.half,ss.USER","S41970.Y1.E1.L1,S41970.Y1.E2.L1,S8213.E1.L1,S8213.E1.L2","0.25651,0.24601,0.00900,..",Pass,"mtcontam=[0.948,0.973]",Western_European,-450
I8213.TW,59349,I8213,10-SU-28-D1-E-60,tooth,OlaldeReichScience2019,AkbariReichNature2026,..,..,Context: Archaeological,2400,29.0,500-400 BCE,..,Spain_LateArchaic_Classical_Hellenistic,"Necrópolis Centre de Visitants (Catalonia, Girona, Empúries)",Spain,42.133301,3.1083,Native Pulldown on 3.2M snpset,TW,Twist1.4M,2,8.6596,0.1015,1811737,1116992,574034,1196075,274123,F,..,43.2213,43.2213,n/a (female),n/a (female),n/a (female),176.912,K2a,"[0.948,0.973]",0.145,0.009,n/a (female),n/a (female),"ds.half,ds.half","S41970.Y1.E1.L1,S41970.Y1.E2.L1","0.25651,0.24601",Pass,"mtcontam=[0.948,0.973]",Western_European,-450
I8340.AG.TW,59354,I8340,10-SU-28-D1-E-63,tooth,OlaldeReichScience2019,AkbariReichNature2026,..,..,Context: Archaeological,2375,43.0,500-350 BCE,..,Spain_LateArchaic_Classical_Hellenistic,"Necrópolis Centre de Visitants (Catalonia, Girona, Empúries)",Spain,42.133301,3.1083,Native Pulldown on 3.2M snpset,AG.TW,"1240k,Twist1.4M",3,9.234,0.0972,1806621,1110624,573269,1192983,273727,F,..,0,0,n/a (female),n/a (female),n/a (female),158.556,K1a+195,"[0.956,0.983]",0.103,0.007,n/a (female),n/a (female),"ds.half,ds.half,ds.half","S41972.Y1.E2.L1,S41972.Y1.E1.L1,S8340.E1.L1","0.52965,0.53535,0.00330",Pass,..,Western_European,-425
I8340.TW,59355,I8340,10-SU-28-D1-E-63,tooth,OlaldeReichScience2019,AkbariReichNature2026,..,..,Context: Archaeological,2375,43.0,500-350 BCE,..,Spain_LateArchaic_Classical_Hellenistic,"Necrópolis Centre de Visitants (Catalonia, Girona, Empúries)",Spain,42.133301,3.1083,Native Pulldown on 3.2M snpset,TW,Twist1.4M,2,9.2102,0.097,1806250,1110482,573225,1192728,273715,F,..,0,0,n/a (female),n/a (female),n/a (female),158.556,K1a+195,"[0.956,0.983]",0.103,0.007,n/a (female),n/a (female),"ds.half,ds.half","S41972.Y1.E2.L1,S41972.Y1.E1.L1","0.52965,0.53535",Pass,..,Western_European,-425
I8341.AG.TW,59356,I8341,10-SU-28-D1-E-62,tooth,OlaldeReichScience2019,AkbariReichNature2026,..,..,Context: Archaeological,2375,43.0,500-350 BCE,..,Spain_LateArchaic_Classical_Hellenistic,"Necrópolis Centre de Visitants (Catalonia, Girona, Empúries)",Spain,42.133301,3.1083,Native Pulldown on 3.2M snpset,AG.TW,"1240k,Twist1.4M",3,6.8131,0.0766,1768988,1095904,568551,1165314,271472,M,..,0,0,R-Y28950,R1b1a1b1a1a2a1b3,..,133.867,H1+16189,"[0.933,0.966]",0.147,0.392,"[0.003,0.006]",..,"ds.half,ds.half,ds.half","S41971.Y1.E1.L1,S41971.Y1.E2.L1,S8341.E1.L1","0.24419,0.23336,0.00510",Pass,"mtcontam=[0.933,0.966]",Western_European,-425
I8341.TW,59357,I8341,10-SU-28-D1-E-62,tooth,OlaldeReichScience2019,AkbariReichNature2026,..,..,Context: Archaeological,2375,43.0,500-350 BCE,..,Spain_LateArchaic_Classical_Hellenistic,"Necrópolis Centre de Visitants (Catalonia, Girona, Empúries)",Spain,42.133301,3.1083,Native Pulldown on 3.2M snpset,TW,Twist1.4M,2,6.7681,0.0762,1767716,1095443,568416,1164407,271403,M,..,0,0,R-Y28950,R1b1a1b1a1a2a1b3,..,133.867,H1+16189,"[0.933,0.966]",0.147,0.392,"[0.003,0.006]",..,"ds.half,ds.half","S41971.Y1.E1.L1,S41971.Y1.E2.L1","0.24419,0.23336",Pass,"mtcontam=[0.933,0.966]",Western_European,-425
I8344.AG.TW,59358,I8344,10-SU-28-D1-E-74,tooth,OlaldeReichScience2019,AkbariReichNature2026,..,..,Context: Archaeological,2400,29.0,500-400 BCE,..,Spain_LateArchaic_Classical_Hellenistic,"Necrópolis Centre de Visitants (Catalonia, Girona, Empúries)",Spain,42.133301,3.1083,Native Pulldown on 3.2M snpset,AG.TW,"1240k,Twist1.4M",3,9.3798,0.0909,1810415,1112570,573772,1195552,274010,M,..,0,0,R-S16136,R1b1a1b1a1a2f,..,232.035,H3,"[0.938,0.965]",0.122,0.385,"[0.003,0.005]",..,"ds.half,ds.half,ds.half","S41973.Y1.E2.L1,S41973.Y1.E1.L1,S8344.E1.L1","0.46336,0.47334,0.00410",Pass,"mtcontam=[0.938,0.965]",Western_European,-450
I8344.TW,59359,I8344,10-SU-28-D1-E-74,tooth,OlaldeReichScience2019,AkbariReichNature2026,..,..,Context: Archaeological,2400,29.0,500-400 BCE,..,Spain_LateArchaic_Classical_Hellenistic,"Necrópolis Centre de Visitants (Catalonia, Girona, Empúries)",Spain,42.133301,3.1083,Native Pulldown on 3.2M snpset,TW,Twist1.4M,2,9.3441,0.0906,1810034,1112440,573739,1195284,273995,M,..,0,0,R-S16136,R1b1a1b1a1a2f,..,232.035,H3,"[0.938,0.965]",0.122,0.385,"[0.003,0.005]",..,"ds.half,ds.half","S41973.Y1.E2.L1,S41973.Y1.E1.L1","0.46336,0.47334",Pass,"mtcontam=[0.938,0.965]",Western_European,-450
I8204.TW,70029,I8204,12-SU-33-A4-600 (1),petrous (cochlea),OlaldeReichScience2019,AkbariReichNature2026,..,..,Direct: IntCal20,2179,76.0,"350-111 calBCE (2155±15 BP, PSUAMS-8172)",adult,Spain_LateArchaic_Classical_Hellenistic,"Necrópolis Granada (Catalonia, Girona, Empúries)",Spain,42.128662,3.1212,Native Pulldown on 3.2M snpset,TW,Twist1.4M,6,12.9862,0.1148,1847328,1135526,578286,1221963,276167,F,..,53.874397,53.874397,n/a (female),n/a (female),n/a (female),212.718,H1e,"[0.935,0.966]",0.123,0.005,n/a (female),n/a (female),"ds.half,ds.half,ss.USER,ds.half,ss.USER,ds.half","S41959.Y1.E1.L1,S41993.Y1.E1.L1,S41993.Y1.E4.L1,S41993.Y1.E2.L1,S41993.Y1.E3.L1,S41959.Y1.E2.L1","0.34323,0.02172,..,0.01913,..,0.33636",Pass,"mtcontam=[0.935,0.966]",Western_European,-229
I8214.AG.TW,70045,I8214,10-SU-28-D1-E-82,tooth,OlaldeReichScience2019,AkbariReichNature2026,..,..,Context: Archaeological,2375,43.0,500-350 BCE,..,Spain_LateArchaic_Classical_Hellenistic,"Necrópolis Centre de Visitants (Catalonia, Girona, Empúries)",Spain,42.133301,3.1083,Native Pulldown on 3.2M snpset,AG.TW,"1240k,Twist1.4M",6,3.6003,0.0317,1664286,1066630,550253,1092311,262444,F,..,0,0,n/a (female),n/a (female),n/a (female),290.338,H3+152,"[0.990,1.000]",0.084,0.005,n/a (female),n/a (female),"ds.half,ds.half,ss.USER,ss.USER,ds.half,ss.USER","S8214.E1.L1,S42002.Y1.E1.L1,S42002.Y1.E4.L1,S42002.Y1.E3.L1,S42002.Y1.E2.L1,S8214.E1.L2","0.03240,0.00326,..,..,0.00324,..",Pass,..,Western_European,-425
I8214.TW,70049,I8214,10-SU-28-D1-E-82,tooth,OlaldeReichScience2019,AkbariReichNature2026,..,..,Context: Archaeological,2375,43.0,500-350 BCE,..,Spain_LateArchaic_Classical_Hellenistic,"Necrópolis Centre de Visitants (Catalonia, Girona, Empúries)",Spain,42.133301,3.1083,Native Pulldown on 3.2M snpset,TW,Twist1.4M,4,2.8756,0.0153,1570671,1021850,529403,1029959,252647,F,..,0,0,n/a (female),n/a (female),n/a (female),290.338,H3+152,"[0.990,1.000]",0.084,0.005,n/a (female),n/a (female),"ds.half,ss.USER,ss.USER,ds.half","S42002.Y1.E1.L1,S42002.Y1.E4.L1,S42002.Y1.E3.L1,S42002.Y1.E2.L1","0.00326,..,..,0.00324",Pass,..,Western_European,-425
I8211.AG.TW,70065,I8211,10-SU-28-D1-E-96,tooth,OlaldeReichScience2019,AkbariReichNature2026,..,..,Context: Archaeological,2425,14.0,500-450 BCE,..,Spain_LateArchaic_Classical_Hellenistic,"Necrópolis Centre de Visitants (Catalonia, Girona, Empúries)",Spain,42.133301,3.1083,Native Pulldown on 3.2M snpset,AG.TW,"1240k,Twist1.4M",6,1.3674,0.0083,1182190,789175,418444,769629,199383,M,,37.6802,37.6802,R-FT177021,R1b1a1b1a1a2a,..,177.855,HV0+195,"[0.980,0.997]",0.087,0.356,"[0.006,0.016]","[0.006,0.012]","ds.half,ds.half,ss.USER,ds.half,ss.USER,ss.USER","S42012.Y1.E1.L1,S8211.E1.L1,S42012.Y1.E4.L1,S42012.Y1.E2.L1,S42012.Y1.E3.L1,S8211.E1.L2","0.00108,0.00430,..,0.00082,..,..",Pass,"ANGSD=[0.006,0.016], hapConX=[0.006,0.012]",Western_European,-475
I8211.TW,70067,I8211,10-SU-28-D1-E-96,tooth,OlaldeReichScience2019,AkbariReichNature2026,..,..,Context: Archaeological,2425,14.0,500-450 BCE,..,Spain_LateArchaic_Classical_Hellenistic,"Necrópolis Centre de Visitants (Catalonia, Girona, Empúries)",Spain,42.133301,3.1083,Native Pulldown on 3.2M snpset,TW,Twist1.4M,4,1.3401,0.0077,1167936,780586,414249,760396,197427,M,,37.6084,37.6084,R-FT177021,R1b1a1b1a1a2a,..,177.855,HV0+195,"[0.980,0.997]",0.087,0.356,"[0.006,0.016]","[0.006,0.012]","ds.half,ss.USER,ds.half,ss.USER","S42012.Y1.E1.L1,S42012.Y1.E4.L1,S42012.Y1.E2.L1,S42012.Y1.E3.L1","0.00108,..,0.00082,..",Pass,"ANGSD=[0.006,0.016], hapConX=[0.006,0.012]",Western_European,-475
ASZK-1.SG,82999,ASZK-1,HUNper3(1),petrous (cochlea),MarótiTörökCurrBiol2022,MarótiTörökCurrBiol2022,https://doi.org/10.1016/j.cub.2022.04.093,ENA:PRJEB49971,"Direct: IntCal20, R_Combine",1500,41.0,"406-534 calCE (1648±18 BP) [R_Combine: (1648±18 BP, DeA-26539), (1616±19 BP, DeA-26559)]",adult (young),Romania_Hun-oEastAsia,"Marosszentgyörgy-Kerekdomb (Mureș County, Gornești)",Romania,46.69103,24.67089,Native Pulldown on 3.2M snpset,SG,Shotgun,..,6.3793,5.7785,1474663,905093,465475,976287,222168,M,"3.0d:ASZK-1:TGH058,3.0d:ASZK-1:TGH010,3.0d:ASZK-1:PTL013",0,0,R-CTS11616,R1a1a1b2a2a3c2~,..,962.722,..,..,0.252,0.372,..,..,..,..,..,Pass,..,Western_European,450
fra001_France.SG,83117,fra001_France,no information (fra001),..,SeersholmSikoraNature2024,SeersholmSikoraNature2024,https://doi.org/10.1038/s41586-024-07651-2,..,"Direct (WARNING - NO DIRECT DATE OR LAB CODE): IntCal20, use what seems to be the 95.4% range given in the paper assuming a uniform distribution to get a mean and confidence interval",1492,48.0,375-541 calCE,..,France_SaintLupienReze_Medieval,Saint Lupien Rezé (Pays de la Loire),France,47.1922193,-1.5624993,Native Pulldown on 3.2M snpset,SG,Shotgun,..,0.48,0.5245,699240,433178,216036,465233,103274,F,..,0,0,n/a (female),n/a (female),n/a (female),30.953,..,"[0.526,0.652]",0.174,0.008,n/a (female),n/a (female),..,..,..,Pass,"mtcontam=[0.526,0.652]",Western_European,458
